prompt_name,sample_id,domain,predicted,correct,is_correct,response_time,confidence
s1s2_prompt,29,agent-properties,"1-1,2-2","1-1,2-2",True,4.6665990352630615,
s1s2_prompt,233,agent-properties,"1-1,2-2","1-1,2-2",True,5.162906169891357,
s1s2_prompt,366,agent-properties,"1-2,2-1","1-1,2-2",False,7.1959450244903564,
s1s2_prompt,148,agent-properties,"1-1,2-2","1-1,2-2",True,7.383836269378662,
s1s2_prompt,237,agent-properties,"1-2,2-1","1-1,2-2",False,7.738480806350708,
s1s2_prompt,313,agent-properties,"1-1,2-2","1-1,2-2",True,7.987306594848633,
s1s2_prompt,145,agent-properties,"1-1,2-2","1-1,2-2",True,8.242717981338501,
s1s2_prompt,159,agent-properties,"1-1,2-2","1-1,2-2",True,9.414541006088257,
s1s2_prompt,53,agent-properties,"1-1,2-2","1-1,2-2",True,10.190718173980713,
s1s2_prompt,295,agent-properties,"1-1,2-2","1-1,2-2",True,5.459627151489258,
s1s2_prompt,447,agent-properties,"1-2,2-1","1-1,2-2",False,11.390752077102661,
s1s2_prompt,157,agent-properties,"1-1,2-2","1-1,2-2",True,8.682419061660767,
s1s2_prompt,392,agent-properties,"1-1,2-2","1-1,2-2",True,7.181426048278809,
s1s2_prompt,185,agent-properties,"1-1,2-2","1-1,2-2",True,4.994154930114746,
s1s2_prompt,151,agent-properties,"1-2,2-1","1-1,2-2",False,7.374006032943726,
s1s2_prompt,355,agent-properties,"1-1,2-2","1-1,2-2",True,9.031920909881592,
s1s2_prompt,140,agent-properties,"1-2,2-1","1-1,2-2",False,8.706250667572021,
s1s2_prompt,11,agent-properties,"1-1,2-2","1-1,2-2",True,6.212669134140015,
s1s2_prompt,192,agent-properties,"1-1,2-2","1-1,2-2",True,10.384833812713623,
s1s2_prompt,263,agent-properties,"1-1,2-2","1-1,2-2",True,7.242081880569458,
s1s2_prompt,152,agent-properties,"1-1,2-2","1-1,2-2",True,4.889178991317749,
s1s2_prompt,198,agent-properties,"1-1,2-2","1-1,2-2",True,9.567131996154785,
s1s2_prompt,70,agent-properties,"1-1,2-2","1-1,2-2",True,6.61155104637146,
s1s2_prompt,400,agent-properties,"1-1,2-2","1-1,2-2",True,5.964584827423096,
s1s2_prompt,139,agent-properties,"1-1,2-2","1-1,2-2",True,4.003188133239746,
s1s2_prompt,223,agent-properties,"1-1,2-2","1-1,2-2",True,7.434357166290283,
s1s2_prompt,182,agent-properties,"1-1,2-2","1-1,2-2",True,8.696871995925903,
s1s2_prompt,116,agent-properties,"1-1,2-2","1-1,2-2",True,8.032262802124023,
s1s2_prompt,133,agent-properties,"1-2,2-1","1-1,2-2",False,5.474160194396973,
s1s2_prompt,101,agent-properties,"1-2,2-1","1-1,2-2",False,5.399648904800415,
s1s2_prompt,416,agent-properties,"1-1,2-2","1-1,2-2",True,7.441021919250488,
s1s2_prompt,175,agent-properties,"1-2,2-1","1-1,2-2",False,8.092660188674927,
s1s2_prompt,231,agent-properties,"1-2,2-1","1-1,2-2",False,7.656013011932373,
s1s2_prompt,49,agent-properties,"1-1,2-2","1-1,2-2",True,8.87636399269104,
s1s2_prompt,273,agent-properties,"1-1,2-2","1-1,2-2",True,4.809816122055054,
s1s2_prompt,7,agent-properties,"1-1,2-2","1-1,2-2",True,5.7286059856414795,
s1s2_prompt,338,agent-properties,"1-1,2-2","1-1,2-2",True,9.98067569732666,
s1s2_prompt,141,agent-properties,"1-2,2-1","1-1,2-2",False,5.819429159164429,
s1s2_prompt,3,agent-properties,"1-2,2-1","1-1,2-2",False,5.438295841217041,
s1s2_prompt,438,agent-properties,"1-1,2-2","1-1,2-2",True,7.83257794380188,
s1s2_prompt,98,agent-properties,"1-1,2-2","1-1,2-2",True,7.204169988632202,
s1s2_prompt,341,agent-properties,"1-1,2-2","1-1,2-2",True,4.862019062042236,
s1s2_prompt,107,agent-properties,"1-1,2-2","1-1,2-2",True,7.492048978805542,
s1s2_prompt,337,agent-properties,"1-1,2-2","1-1,2-2",True,6.92724609375,
